Group.1,Group.2,Experiment
96,12,FBgn0003943 inheritance
60,30,FBgn0003943 inheritance
60,10,FBgn0003943 inheritance
102,14,FBgn0003943 inheritance
70,20,FBgn0003943 inheritance
81,20,FBgn0003943 inheritance
39,10,FBgn0003943 inheritance
119,9,FBgn0003943 inheritance
48,15,FBgn0003943 inheritance
95,13,FBgn0003943 inheritance
97,14,FBgn0003943 inheritance
91,11,FBgn0003943 inheritance
100,19,FBgn0003943 inheritance
2,45,FBgn0003943 Gresistance
1,32,FBgn0003943 Gresistance
5,33,FBgn0003943 Gresistance
3,44,FBgn0003943 Gresistance
2,33,FBgn0003943 Gresistance
2,42,FBgn0003943 Gresistance
2,12,FBgn0003943 Gresistance
2,65,FBgn0003943 Gresistance
4,51,FBgn0003943 Gresistance
5,35,FBgn0003943 Gresistance
9,58,FBgn0003943 Gresistance
3,50,FBgn0003943 Gresistance
16,30,FBgn0003943 Gresistance
2,35,FBgn0003943 Gresistance
2,55,FBgn0003943 Gresistance
12,45,FBgn0003943 Gresistance
1,32,FBgn0003943 Gresistance
7,12,FBgn0003943 Gresistance
6,64,FBgn0003943 Gresistance
7,32,FBgn0003943 Gresistance
3,56,FBgn0003943 Gresistance
7,46,FBgn0003943 Gresistance
4,49,FBgn0003943 Gresistance
7,55,FBgn0003943 Gresistance
11,1,FBgn0003943 embryo
12,1,FBgn0003943 embryo
14,1,FBgn0003943 embryo
18,1,FBgn0003943 embryo
12,2,FBgn0003943 embryo
21,2,FBgn0003943 embryo
7,0,FBgn0003943 embryo
21,2,FBgn0003943 embryo
20,2,FBgn0003943 embryo
15,1,FBgn0003943 embryo
18,0,FBgn0003943 embryo
18,2,FBgn0003943 embryo
9,1,FBgn0003943 embryo
15,0,FBgn0003943 embryo
19,2,FBgn0003943 embryo
8,0,FBgn0003943 embryo
16,3,FBgn0003943 embryo
11,1,FBgn0003943 embryo
26,2,FBgn0003943 embryo
5,0,FBgn0003943 embryo
17,2,FBgn0003943 embryo
16,1,FBgn0003943 embryo
10,4,FBgn0003943 embryo
20,3,FBgn0003943 embryo
16,5,FBgn0004400_1 inheritance
47,10,FBgn0004400_1 inheritance
67,18,FBgn0004400_1 inheritance
81,24,FBgn0004400_1 inheritance
60,19,FBgn0004400_1 inheritance
106,18,FBgn0004400_1 inheritance
91,10,FBgn0004400_1 inheritance
73,13,FBgn0004400_1 inheritance
65,19,FBgn0004400_1 inheritance
41,5,FBgn0004400_1 inheritance
65,3,FBgn0004400_1 inheritance
59,9,FBgn0004400_1 inheritance
73,19,FBgn0004400_1 inheritance
80,9,FBgn0004400_1 inheritance
53,6,FBgn0004400_1 inheritance
102,12,FBgn0004400_1 inheritance
68,18,FBgn0004400_1 inheritance
67,13,FBgn0004400_1 inheritance
71,11,FBgn0004400_1 inheritance
89,11,FBgn0004400_1 inheritance
2,9,FBgn0004400_1 Gresistance
4,24,FBgn0004400_1 Gresistance
9,37,FBgn0004400_1 Gresistance
13,46,FBgn0004400_1 Gresistance
9,27,FBgn0004400_1 Gresistance
10,57,FBgn0004400_1 Gresistance
3,51,FBgn0004400_1 Gresistance
9,33,FBgn0004400_1 Gresistance
10,31,FBgn0004400_1 Gresistance
1,18,FBgn0004400_1 Gresistance
2,30,FBgn0004400_1 Gresistance
2,31,FBgn0004400_1 Gresistance
6,38,FBgn0004400_1 Gresistance
5,49,FBgn0004400_1 Gresistance
1,27,FBgn0004400_1 Gresistance
4,57,FBgn0004400_1 Gresistance
7,46,FBgn0004400_1 Gresistance
11,36,FBgn0004400_1 Gresistance
6,34,FBgn0004400_1 Gresistance
5,48,FBgn0004400_1 Gresistance
1,0,FBgn0004400_1 embryo
11,2,FBgn0004400_1 embryo
8,5,FBgn0004400_1 embryo
13,7,FBgn0004400_1 embryo
10,3,FBgn0004400_1 embryo
28,2,FBgn0004400_1 embryo
14,6,FBgn0004400_1 embryo
17,6,FBgn0004400_1 embryo
13,5,FBgn0004400_1 embryo
8,5,FBgn0004400_1 embryo
14,7,FBgn0004400_1 embryo
11,3,FBgn0004400_1 embryo
12,5,FBgn0004400_1 embryo
12,5,FBgn0004400_1 embryo
6,6,FBgn0004400_1 embryo
15,9,FBgn0004400_1 embryo
6,4,FBgn0004400_1 embryo
13,5,FBgn0004400_1 embryo
11,6,FBgn0004400_1 embryo
14,5,FBgn0004400_1 embryo
50,10,FBgn0004400_2 inheritance
80,6,FBgn0004400_2 inheritance
61,15,FBgn0004400_2 inheritance
64,4,FBgn0004400_2 inheritance
78,13,FBgn0004400_2 inheritance
71,12,FBgn0004400_2 inheritance
97,22,FBgn0004400_2 inheritance
78,21,FBgn0004400_2 inheritance
64,14,FBgn0004400_2 inheritance
62,8,FBgn0004400_2 inheritance
67,26,FBgn0004400_2 inheritance
97,7,FBgn0004400_2 inheritance
81,11,FBgn0004400_2 inheritance
80,13,FBgn0004400_2 inheritance
61,33,FBgn0004400_2 inheritance
84,17,FBgn0004400_2 inheritance
93,5,FBgn0004400_2 inheritance
75,10,FBgn0004400_2 inheritance
6,31,FBgn0004400_2 Gresistance
3,41,FBgn0004400_2 Gresistance
12,39,FBgn0004400_2 Gresistance
2,34,FBgn0004400_2 Gresistance
6,42,FBgn0004400_2 Gresistance
5,39,FBgn0004400_2 Gresistance
5,47,FBgn0004400_2 Gresistance
10,41,FBgn0004400_2 Gresistance
5,38,FBgn0004400_2 Gresistance
4,42,FBgn0004400_2 Gresistance
14,33,FBgn0004400_2 Gresistance
4,45,FBgn0004400_2 Gresistance
7,53,FBgn0004400_2 Gresistance
